Place 1;Place 2;Distance (km)
Federation Council;Willoughby, City of;15006.69
Federation Council;Wingecarribee Shire;11970.29
Federation Council;Wollondilly Shire;11970.29
Federation Council;Wollongong, City of;15047.49
Federation Council;Woollahra, Municipality of;7542.28
Federation Council;Yass Valley Council;15243.1
Forbes Shire;Georges River Council;11970.29
Forbes Shire;Gilgandra Shire;12739.17
Forbes Shire;Glen Innes Severn Council;13040.52
Forbes Shire;Goulburn Mulwaree Council;12846.15
Forbes Shire;Greater Hume Shire;12610.9
Forbes Shire;Griffith, City of;4800.14
Forbes Shire;Gunnedah Shire;0.0
Forbes Shire;Gwydir Shire;0.0
Forbes Shire;Hawkesbury, City of;4800.14
Forbes Shire;Hay Shire;0.0
Forbes Shire;Hills Shire, The;12959.01
Forbes Shire;Hilltops Council;11970.29
Forbes Shire;Hornsby Shire;0.0
Forbes Shire;Hunter's Hill, Municipality of;11644.07
Forbes Shire;Inner West Council;11970.29
Forbes Shire;Inverell Shire;0.0
Forbes Shire;Junee Shire;0.0
Forbes Shire;Kempsey Shire;13099.81
Forbes Shire;Kiama, Municipality of;4800.14
Forbes Shire;Ku-ring-gai Council;11970.29
Forbes Shire;Kyogle Council;11970.29
Forbes Shire;Lachlan Shire;0.0
Forbes Shire;Lake Macquarie, City of;4800.14
Forbes Shire;Lane Cove, Municipality of;4800.14
Forbes Shire;Leeton Shire;0.0
Forbes Shire;Lismore, City of;4800.14
Forbes Shire;Lithgow, City of;4800.14
Forbes Shire;Liverpool, City of;4800.14
Forbes Shire;Liverpool Plains Shire;0.0
Forbes Shire;Lockhart Shire;0.0
Forbes Shire;Lord Howe Island;13723.33
Forbes Shire;Maitland, City of;4800.14
Forbes Shire;Mid-Coast Council;11970.29
Forbes Shire;Mid-Western Regional;12839.76
Forbes Shire;Moree Plains Shire;12820.17
Forbes Shire;Mosman Council;12980.71
Forbes Shire;Murray River Council;11970.29
Forbes Shire;Murrumbidgee Council;12460.67
Forbes Shire;Muswellbrook Shire;0.0
Forbes Shire;Nambucca Shire;13128.08
Forbes Shire;Narrandera Shire;0.0
Forbes Shire;Narrabri Shire;0.0
Forbes Shire;Narromine Shire;0.0
Forbes Shire;Newcastle, City of;13031.73
Forbes Shire;Northern Beaches Council;11970.29
Forbes Shire;North Sydney Council;11970.29
Forbes Shire;Oberon Shire;0.0
Forbes Shire;Orange, City of;10787.22
Forbes Shire;Parkes Shire;0.0
Forbes Shire;Parramatta Council, City of;12958.91
Forbes Shire;Penrith, City of;4800.14
Forbes Shire;Port Macquarie-Hastings Council;13106.19
Forbes Shire;Port Stephens Council;11970.29
Forbes Shire;Queanbeyan-Palerang Regional Council;14515.99
Forbes Shire;Randwick, City of;12980.67
Forbes Shire;Richmond Valley Council;11970.29
Forbes Shire;Ryde, City of;12968.79
Forbes Shire;Singleton Council;11970.29
Forbes Shire;Shellharbour, City of;12945.2
Forbes Shire;Shoalhaven, City of;4800.14
Forbes Shire;Snowy Monaro Regional Council;12764.7
Forbes Shire;Snowy Valleys Council;11970.29
Forbes Shire;Strathfield, Municipality of;12966.08
Forbes Shire;Sutherland Shire;12958.13
Forbes Shire;Sydney, City of;4800.14
Forbes Shire;Tamworth Regional Council;11970.29
Forbes Shire;Temora Shire;0.0
Forbes Shire;Tenterfield Shire;0.0
Forbes Shire;Tweed Shire;13176.16
Forbes Shire;Unincorporated Far West;11475.95
Forbes Shire;Upper Hunter Shire;12967.61
Forbes Shire;Upper Lachlan Shire;12811.59
Forbes Shire;Uralla Shire;0.0
Forbes Shire;Wagga Wagga, City of;12625.5
Forbes Shire;Walcha Shire;0.0
Forbes Shire;Walgett Shire;0.0
Forbes Shire;Warren Shire;0.0
Forbes Shire;Warrumbungle Shire;12812.37
Forbes Shire;Waverley Council;11970.29
Forbes Shire;Weddin Shire;0.0
Forbes Shire;Wentworth Shire;0.0
Forbes Shire;Willoughby, City of;12976.82
Forbes Shire;Wingecarribee Shire;0.0
Forbes Shire;Wollondilly Shire;0.0
Forbes Shire;Wollongong, City of;12948.04
Forbes Shire;Woollahra, Municipality of;4800.14
Forbes Shire;Yass Valley Council;12760.18
Georges River Council;Gilgandra Shire;15185.89
Georges River Council;Glen Innes Severn Council;14835.99
Georges River Council;Goulburn Mulwaree Council;15156.63
Georges River Council;Greater Hume Shire;15403.95
Georges River Council;Griffith, City of;7542.28
Georges River Council;Gunnedah Shire;11970.29
Georges River Council;Gwydir Shire;11970.29
Georges River Council;Hawkesbury, City of;7542.28
Georges River Council;Hay Shire;11970.29
Georges River Council;Hills Shire, The;15023.21
Georges River Council;Hilltops Council;0.0
Georges River Council;Hornsby Shire;11970.29
Georges River Council;Hunter's Hill, Municipality of;941.32
Georges River Council;Inner West Council;0.0
Georges River Council;Inverell Shire;11970.29
Georges River Council;Junee Shire;11970.29
Georges River Council;Kempsey Shire;14815.95
Georges River Council;Kiama, Municipality of;7542.28
Georges River Council;Ku-ring-gai Council;0.0
Georges River Council;Kyogle Council;0.0
Georges River Council;Lachlan Shire;11970.29
Georges River Council;Lake Macquarie, City of;7542.28
Georges River Council;Lane Cove, Municipality of;7542.28
Georges River Council;Leeton Shire;11970.29
Georges River Council;Lismore, City of;7542.28
Georges River Council;Lithgow, City of;7542.28
Georges River Council;Liverpool, City of;7542.28
Georges River Council;Liverpool Plains Shire;11970.29
Georges River Council;Lockhart Shire;11970.29
Georges River Council;Lord Howe Island;14230.54
Georges River Council;Maitland, City of;7542.28
Georges River Council;Mid-Coast Council;0.0
Georges River Council;Mid-Western Regional;15113.35
Georges River Council;Moree Plains Shire;15031.21
Georges River Council;Mosman Council;15003.36
Georges River Council;Murray River Council;0.0
Georges River Council;Murrumbidgee Council;15532.86
Georges River Council;Muswellbrook Shire;11970.29
Georges River Council;Nambucca Shire;14781.56
Georges River Council;Narrandera Shire;11970.29
Georges River Council;Narrabri Shire;11970.29
Georges River Council;Narromine Shire;11970.29
Georges River Council;Newcastle, City of;14933.48
Georges River Council;Northern Beaches Council;0.0
Georges River Council;North Sydney Council;0.0
Georges River Council;Oberon Shire;11970.29
Georges River Council;Orange, City of;1353.76
Georges River Council;Parkes Shire;11970.29
Georges River Council;Parramatta Council, City of;15024.4
Georges River Council;Penrith, City of;7542.28
Georges River Council;Port Macquarie-Hastings Council;14822.6
Georges River Council;Port Stephens Council;0.0
Georges River Council;Queanbeyan-Palerang Regional Council;13502.98
Georges River Council;Randwick, City of;15005.09
Georges River Council;Richmond Valley Council;0.0
Georges River Council;Ryde, City of;15014.67
Georges River Council;Singleton Council;0.0
Georges River Council;Shellharbour, City of;15053.15
Georges River Council;Shoalhaven, City of;7542.28
Georges River Council;Snowy Monaro Regional Council;15261.86
Georges River Council;Snowy Valleys Council;0.0
Georges River Council;Strathfield, Municipality of;15018.78
Georges River Council;Sutherland Shire;15030.68
Georges River Council;Sydney, City of;7542.28
Georges River Council;Tamworth Regional Council;0.0
Georges River Council;Temora Shire;11970.29
Georges River Council;Tenterfield Shire;11970.29
Georges River Council;Tweed Shire;14660.58
Georges River Council;Unincorporated Far West;834.7
Georges River Council;Upper Hunter Shire;14970.42
Georges River Council;Upper Lachlan Shire;15180.34
Georges River Council;Uralla Shire;11970.29
Georges River Council;Wagga Wagga, City of;15378.39
Georges River Council;Walcha Shire;11970.29
Georges River Council;Walgett Shire;11970.29
Georges River Council;Warren Shire;11970.29
Georges River Council;Warrumbungle Shire;15109.75
Georges River Council;Waverley Council;0.0
Georges River Council;Weddin Shire;11970.29
Georges River Council;Wentworth Shire;11970.29
Georges River Council;Willoughby, City of;15006.69
Georges River Council;Wingecarribee Shire;11970.29
Georges River Council;Wollondilly Shire;11970.29
Georges River Council;Wollongong, City of;15047.49
Georges River Council;Woollahra, Municipality of;7542.28
Georges River Council;Yass Valley Council;15243.1
Gilgandra Shire;Glen Innes Severn Council;373.96
Gilgandra Shire;Goulburn Mulwaree Council;377.1
Gilgandra Shire;Greater Hume Shire;478.15
Gilgandra Shire;Griffith, City of;16135.19
Gilgandra Shire;Gunnedah Shire;12739.17
Gilgandra Shire;Gwydir Shire;12739.17
Gilgandra Shire;Hawkesbury, City of;16135.19
Gilgandra Shire;Hay Shire;12739.17
Gilgandra Shire;Hills Shire, The;320.96
Gilgandra Shire;Hilltops Council;15185.89
Gilgandra Shire;Hornsby Shire;12739.17
Gilgandra Shire;Hunter's Hill, Municipality of;15197.52
Gilgandra Shire;Inner West Council;15185.89
Gilgandra Shire;Inverell Shire;12739.17
Gilgandra Shire;Junee Shire;12739.17
Gilgandra Shire;Kempsey Shire;370.11
Gilgandra Shire;Kiama, Municipality of;16135.19
Gilgandra Shire;Ku-ring-gai Council;15185.89
Gilgandra Shire;Kyogle Council;15185.89
Gilgandra Shire;Lachlan Shire;12739.17
Gilgandra Shire;Lake Macquarie, City of;16135.19
Gilgandra Shire;Lane Cove, Municipality of;16135.19
Gilgandra Shire;Leeton Shire;12739.17
Gilgandra Shire;Lismore, City of;16135.19
Gilgandra Shire;Lithgow, City of;16135.19
Gilgandra Shire;Liverpool, City of;16135.19
Gilgandra Shire;Liverpool Plains Shire;12739.17
Gilgandra Shire;Lockhart Shire;12739.17
Gilgandra Shire;Lord Howe Island;984.19
Gilgandra Shire;Maitland, City of;16135.19
Gilgandra Shire;Mid-Coast Council;15185.89
Gilgandra Shire;Mid-Western Regional;146.06
Gilgandra Shire;Moree Plains Shire;286.36
Gilgandra Shire;Mosman Council;341.48
Gilgandra Shire;Murray River Council;15185.89
Gilgandra Shire;Murrumbidgee Council;444.51
Gilgandra Shire;Muswellbrook Shire;12739.17
Gilgandra Shire;Nambucca Shire;404.41
Gilgandra Shire;Narrandera Shire;12739.17
Gilgandra Shire;Narrabri Shire;12739.17
Gilgandra Shire;Narromine Shire;12739.17
Gilgandra Shire;Newcastle, City of;324.37
Gilgandra Shire;Northern Beaches Council;15185.89
Gilgandra Shire;North Sydney Council;15185.89
Gilgandra Shire;Oberon Shire;12739.17
Gilgandra Shire;Orange, City of;16073.67
Gilgandra Shire;Parkes Shire;12739.17
Gilgandra Shire;Parramatta Council, City of;325.15
Gilgandra Shire;Penrith, City of;16135.19
Gilgandra Shire;Port Macquarie-Hastings Council;368.34
Gilgandra Shire;Port Stephens Council;15185.89
Gilgandra Shire;Queanbeyan-Palerang Regional Council;2408.67
Gilgandra Shire;Randwick, City of;347.99
Gilgandra Shire;Richmond Valley Council;15185.89
Gilgandra Shire;Ryde, City of;331.73
Gilgandra Shire;Singleton Council;15185.89
Gilgandra Shire;Shellharbour, City of;385.06
Gilgandra Shire;Shoalhaven, City of;16135.19
Gilgandra Shire;Snowy Monaro Regional Council;532.83
Gilgandra Shire;Snowy Valleys Council;15185.89
Gilgandra Shire;Strathfield, Municipality of;335.54
Gilgandra Shire;Sutherland Shire;347.22
Gilgandra Shire;Sydney, City of;16135.19
Gilgandra Shire;Tamworth Regional Council;15185.89
Gilgandra Shire;Temora Shire;12739.17
Gilgandra Shire;Tenterfield Shire;12739.17
Gilgandra Shire;Tweed Shire;575.87
Gilgandra Shire;Unincorporated Far West;15439.3
Gilgandra Shire;Upper Hunter Shire;229.77
Gilgandra Shire;Upper Lachlan Shire;310.4
Gilgandra Shire;Uralla Shire;12739.17
Gilgandra Shire;Wagga Wagga, City of;405.81
Gilgandra Shire;Walcha Shire;12739.17
Gilgandra Shire;Walgett Shire;12739.17
Gilgandra Shire;Warren Shire;12739.17
Gilgandra Shire;Warrumbungle Shire;76.17
Gilgandra Shire;Waverley Council;15185.89
Gilgandra Shire;Weddin Shire;12739.17
Gilgandra Shire;Wentworth Shire;12739.17
Gilgandra Shire;Willoughby, City of;336.9
Gilgandra Shire;Wingecarribee Shire;12739.17
Gilgandra Shire;Wollondilly Shire;12739.17
Gilgandra Shire;Wollongong, City of;372.59
Gilgandra Shire;Woollahra, Municipality of;16135.19
Gilgandra Shire;Yass Valley Council;373.54
Glen Innes Severn Council;Goulburn Mulwaree Council;609.82
Glen Innes Severn Council;Greater Hume Shire;802.61
Glen Innes Severn Council;Griffith, City of;16200.48
Glen Innes Severn Council;Gunnedah Shire;13040.52
Glen Innes Severn Council;Gwydir Shire;13040.52
Glen Innes Severn Council;Hawkesbury, City of;16200.48
Glen Innes Severn Council;Hay Shire;13040.52
Glen Innes Severn Council;Hills Shire, The;458.03
Glen Innes Severn Council;Hilltops Council;14835.99
Glen Innes Severn Council;Hornsby Shire;13040.52
Glen Innes Severn Council;Hunter's Hill, Municipality of;14827.84
Glen Innes Severn Council;Inner West Council;14835.99
Glen Innes Severn Council;Inverell Shire;13040.52
Glen Innes Severn Council;Junee Shire;13040.52
Glen Innes Severn Council;Kempsey Shire;148.47
Glen Innes Severn Council;Kiama, Municipality of;16200.48
Glen Innes Severn Council;Ku-ring-gai Council;14835.99
Glen Innes Severn Council;Kyogle Council;14835.99
Glen Innes Severn Council;Lachlan Shire;13040.52
Glen Innes Severn Council;Lake Macquarie, City of;16200.48
Glen Innes Severn Council;Lane Cove, Municipality of;16200.48
Glen Innes Severn Council;Leeton Shire;13040.52
Glen Innes Severn Council;Lismore, City of;16200.48
Glen Innes Severn Council;Lithgow, City of;16200.48
Glen Innes Severn Council;Liverpool, City of;16200.48
Glen Innes Severn Council;Liverpool Plains Shire;13040.52
Glen Innes Severn Council;Lockhart Shire;13040.52
Glen Innes Severn Council;Lord Howe Island;717.03
Glen Innes Severn Council;Maitland, City of;16200.48
Glen Innes Severn Council;Mid-Coast Council;14835.99
Glen Innes Severn Council;Mid-Western Regional;382.26
Glen Innes Severn Council;Moree Plains Shire;226.13
Glen Innes Severn Council;Mosman Council;461.86
Glen Innes Severn Council;Murray River Council;14835.99
Glen Innes Severn Council;Murrumbidgee Council;810.5
Glen Innes Severn Council;Muswellbrook Shire;13040.52
Glen Innes Severn Council;Nambucca Shire;139.43
Glen Innes Severn Council;Narrandera Shire;13040.52
Glen Innes Severn Council;Narrabri Shire;13040.52
Glen Innes Severn Council;Narromine Shire;13040.52
Glen Innes Severn Council;Newcastle, City of;357.51
Glen Innes Severn Council;Northern Beaches Council;14835.99
Glen Innes Severn Council;North Sydney Council;14835.99
Glen Innes Severn Council;Oberon Shire;13040.52
Glen Innes Severn Council;Orange, City of;15702.08
Glen Innes Severn Council;Parkes Shire;13040.52
Glen Innes Severn Council;Parramatta Council, City of;463.71
Glen Innes Severn Council;Penrith, City of;16200.48
Glen Innes Severn Council;Port Macquarie-Hastings Council;198.66
Glen Innes Severn Council;Port Stephens Council;14835.99
Glen Innes Severn Council;Queanbeyan-Palerang Regional Council;2332.64
Glen Innes Severn Council;Randwick, City of;470.85
Glen Innes Severn Council;Richmond Valley Council;14835.99
Glen Innes Severn Council;Ryde, City of;461.75
Glen Innes Severn Council;Singleton Council;14835.99
Glen Innes Severn Council;Shellharbour, City of;549.57
Glen Innes Severn Council;Shoalhaven, City of;16200.48
Glen Innes Severn Council;Snowy Monaro Regional Council;796.65
Glen Innes Severn Council;Snowy Valleys Council;14835.99
Glen Innes Severn Council;Strathfield, Municipality of;469.77
Glen Innes Severn Council;Sutherland Shire;492.88
Glen Innes Severn Council;Sydney, City of;16200.48
Glen Innes Severn Council;Tamworth Regional Council;14835.99
Glen Innes Severn Council;Temora Shire;13040.52
Glen Innes Severn Council;Tenterfield Shire;13040.52
Glen Innes Severn Council;Tweed Shire;204.47
Glen Innes Severn Council;Unincorporated Far West;15071.37
Glen Innes Severn Council;Upper Hunter Shire;254.6
Glen Innes Severn Council;Upper Lachlan Shire;567.46
Glen Innes Severn Council;Uralla Shire;13040.52
Glen Innes Severn Council;Wagga Wagga, City of;735.78
Glen Innes Severn Council;Walcha Shire;13040.52
Glen Innes Severn Council;Walgett Shire;13040.52
Glen Innes Severn Council;Warren Shire;13040.52
Glen Innes Severn Council;Warrumbungle Shire;303.39
Glen Innes Severn Council;Waverley Council;14835.99
Glen Innes Severn Council;Weddin Shire;13040.52
Glen Innes Severn Council;Wentworth Shire;13040.52
Glen Innes Severn Council;Willoughby, City of;459.89
Glen Innes Severn Council;Wingecarribee Shire;13040.52
Glen Innes Severn Council;Wollondilly Shire;13040.52
Glen Innes Severn Council;Wollongong, City of;532.73
Glen Innes Severn Council;Woollahra, Municipality of;16200.48
Glen Innes Severn Council;Yass Valley Council;653.19
Goulburn Mulwaree Council;Greater Hume Shire;253.93
Goulburn Mulwaree Council;Griffith, City of;16453.62
Goulburn Mulwaree Council;Gunnedah Shire;12846.15
Goulburn Mulwaree Council;Gwydir Shire;12846.15
Goulburn Mulwaree Council;Hawkesbury, City of;16453.62
Goulburn Mulwaree Council;Hay Shire;12846.15
Goulburn Mulwaree Council;Hills Shire, The;168.96
Goulburn Mulwaree Council;Hilltops Council;15156.63
Goulburn Mulwaree Council;Hornsby Shire;12846.15
Goulburn Mulwaree Council;Hunter's Hill, Municipality of;15249.21
Goulburn Mulwaree Council;Inner West Council;15156.63
Goulburn Mulwaree Council;Inverell Shire;12846.15
Goulburn Mulwaree Council;Junee Shire;12846.15
Goulburn Mulwaree Council;Kempsey Shire;507.45
Goulburn Mulwaree Council;Kiama, Municipality of;16453.62
Goulburn Mulwaree Council;Ku-ring-gai Council;15156.63
Goulburn Mulwaree Council;Kyogle Council;15156.63
